section,count
"创业路(后海湾段)",18
"常兴路",66
"金世纪路",19
"科技南路",87
"文心六路",58
"工业九路",50
"中心路(后海湾段)",63
"高新南环路",240
"高新南七道",41
"文心三路",12
"后海大道辅道(蛇口北段)",58
"高新南五道",18
"华明路",3
"荔园路(蛇口西段)",70
"科技南一路",92
"四海路",55
"海德三道",46
"海德二道（南油段）",45
"海德一道",51
"文心五路",14
"海德二道",42
"创业路(南油段)",72
"登良路",29
"南头街",21
"海德一道(后海湾段)",26
"文心二路",30
"高新南九道",26
"高新南四道",26
"高新南十道",73
"南新路",23
"学府路(前海段)",11
"高新南三道",21
"科技南十路",29
"高新南十一道",60
"后海大道辅道(后海段)",80
"龙城路",31
"文心一路",13
"创业路辅道",43
"海月路(东段)",19
"招商路(蛇口西段)",61
"文心四路",24
"荔园路(蛇口东段)",54
"科技南十二路",10
