berthage,avg_parking_time
"207171",13020
"210459",11220
"211087",10230
"210034",9780
"202232",7440
"210461",7160
"211085",6925
"207181",6846
"211022",6686
"211109",6518
"210035",6432
"207179",6394
"203118",6369
"207176",6360
"207182",6187
"207152",6186
"210457",6120
"207143",6120
"207153",5970
"207175",5965
"207183",5936
"210093",5920
"211086",5908
"211077",5893
"210584",5872
"207154",5860
"210585",5856
"210589",5780
"207178",5771
"207180",5726
"207113",5683
"210586",5625
"210588",5591
"203090",5569
"205085",5554
"207151",5544
"207043",5521
"207044",5513
"207042",5501
"207047",5460
"201158",5444
"203076",5403
"207147",5397
"207150",5358
"203074",5345
"211171",5344
"210562",5334
"207055",5311
"207041",5308
"204185",5297
"210594",5293
"207054",5268
"203072",5216
"207146",5213
"210591",5195
"203120",5194
"207049",5188
"210564",5182
"207063",5174
"207053",5174
"207048",5169
"211177",5143
"211172",5139
"207046",5132
"207057",5109
"203115",5082
"211196",5078
"210037",5077
"207051",5064
"210358",5058
"207045",5053
"211024",5052
"210583",5043
"211062",5004
"204066",4999
"210561",4998
"210560",4977
"207142",4976
"203089",4976
"210283",4956
"207056",4955
"210579",4947
"211175",4947
"207059",4939
"210312",4935
"210570",4926
"211030",4908
"210356",4904
"210566",4900
"207058",4899
"210587",4883
"210359",4862
"208552",4859
"210318",4842
"203117",4841
"210563",4827
"210319",4821
"208551",4805
"210590",4801
"207060",4793
"202233",4786
"211205",4782
"211032",4778
"207114",4765
"210582",4762
"207050",4762
"203299",4761
"211184",4752
"207021",4745
"210569",4742
"203087",4740
"208553",4734
"210355",4734
"210595",4732
"210597",4731
"207145",4727
"207061",4720
"204084",4710
"208556",4706
"201159",4706
"210031",4704
"211173",4704
"203126",4701
"210122",4696
"210581",4696
"208554",4695
"210028",4680
"211206",4670
"203080",4662
"207064",4662
"204116",4661
"210565",4649
"207018",4646
"211072",4644
"204117",4644
"203295",4635
"204062",4630
"208618",4626
"208613",4622
"203292",4620
"203291",4619
"211201",4618
"204136",4608
"203063",4605
"207066",4603
"210601",4601
"204064",4599
"211178",4597
"204154",4597
"210460",4590
"207065",4584
"211052",4583
"207024",4583
"204088",4578
"208383",4577
"210310",4573
"202317",4572
"210568",4571
"207112",4565
"210128",4564
"202315",4560
"211029",4560
"204061",4560
"207001",4559
"211198",4556
"211207",4555
"211070",4553
"211200",4551
"211179",4547
"203319",4546
"211176",4543
"205150",4541
"210596",4539
"204065",4534
"211182",4533
"204155",4533
"207068",4525
"210315",4522
"207070",4521
"207062",4520
"204063",4513
"207087",4513
"210022",4512
"210580",4512
"208555",4510
"211071",4507
"210598",4506
"208617",4503
"205203",4503
"211041",4499
"204133",4495
"204153",4493
"205188",4491
"207023",4489
"208615",4488
"210593",4485
"207069",4485
"205086",4483
"204139",4471
"207022",4463
"204156",4460
"210567",4459
"210322",4458
"207020",4456
"204138",4455
"207116",4454
"208619",4454
"207005",4452
"210317",4451
"211014",4450
"210394",4448
"203088",4448
"207173",4448
"208434",4441
"211027",4440
"208374",4438
"207052",4426
"211174",4425
"208612",4424
"210361",4418
"204086",4417
"207025",4416
"208385",4415
"211039",4415
"211183",4412
"211181",4410
"204157",4403
"207118",4401
"210129",4400
"211204",4395
"210090",4394
"207082",4391
"208384",4389
"203012",4387
"203078",4385
"210422",4385
"210207",4384
"202316",4383
"203318",4380
"207029",4379
"211068",4365
"207071",4363
"211255",4360
"210608",4360
"208449",4359
"203297",4357
"208616",4357
"210357",4353
"208611",4352
"210360",4350
"207085",4348
"210044",4344
"210465",4344
"210125",4343
"208103",4342
"205084",4342
"205202",4342
"207019",4342
"203300",4338
"204114",4336
"204115",4335
"203296",4333
"210389",4331
"208357",4329
"210208",4326
"210020",4325
"207141",4323
"208430",4322
"208547",4322
"208511",4319
"203293",4317
"203128",4316
"211185",4316
"208681",4312
"207031",4311
"210042",4309
"208391",4304
"210026",4304
"204112",4302
"203006",4301
"208546",4301
"208389",4299
"210607",4298
"208387",4295
"204134",4294
"204069",4293
"207086",4292
"208614",4292
"210543",4292
"210600",4292
"211108",4289
"208355",4287
"207003",4286
"211114",4280
"208512",4278
"210311",4276
"210392",4273
"210393",4272
"210573",4267
"208450",4266
"210544",4264
"208393",4264
"205087",4263
"205045",4261
"208386",4261
"207174",4260
"205200",4260
"210081",4253
"208433",4251
"210534",4249
"203064",4247
"205038",4247
"204068",4243
"204137",4243
"210309",4239
"203294",4237
"203317",4236
"207007",4234
"205093",4234
"208590",4232
"210222",4230
"207028",4228
"207002",4228
"211021",4224
"203301",4224
"208390",4221
"205103",4221
"208585",4219
"203084",4219
"207072",4218
"208428",4214
"210599",4208
"208464",4207
"208379",4207
"208505",4206
"208107",4205
"208545",4204
"210441",4203
"210547",4202
"210571",4198
"208408",4197
"208435",4196
"210546",4194
"208439",4192
"211202",4192
"210313",4192
"211211",4191
"203357",4191
"210436",4191
"207032",4186
"203112",4186
"203278",4185
"210103",4183
"208427",4182
"208431",4182
"205197",4181
"210173",4180
"204159",4178
"207083",4177
"203079",4174
"208122",4174
"211110",4171
"211208",4170
"210413",4168
"208356",4165
"205201",4164
"203298",4163
"208182",4161
"208620",4161
"208593",4161
"211187",4161
"208423",4161
"210383",4158
"205092",4158
"203081",4158
"205048",4157
"210083",4155
"203075",4153
"204078",4152
"207084",4151
"210323",4150
"210396",4149
"208121",4149
"211111",4145
"204129",4145
"211213",4144
"210124",4143
"208354",4142
"208588",4142
"211079",4142
"210167",4141
"204135",4141
"204128",4141
"211180",4141
"208452",4140
"210091",4140
"211078",4140
"208407",4137
"208425",4137
"210395",4136
"205047",4136
"208406",4134
"211090",4133
"205095",4133
"203302",4132
"203007",4131
"205049",4131
"208372",4129
"208587",4129
"211034",4129
"205189",4129
"210210",4128
"203085",4128
"210171",4127
"204067",4122
"203070",4119
"208440",4117
"207004",4116
"207119",4116
"204118",4115
"210209",4115
"210046",4114
"204140",4112
"205037",4111
"208352",4110
"203045",4110
"211189",4109
"208544",4108
"210602",4107
"208510",4103
"208586",4103
"203001",4103
"203123",4102
"211241",4101
"208513",4098
"205089",4097
"205191",4096
"211195",4096
"208392",4094
"207030",4092
"208102",4092
"208473",4091
"207120",4090
"206283",4088
"204158",4088
"210285",4086
"203011",4086
"210217",4083
"211099",4081
"210080",4079
"205067",4079
"204113",4079
"210388",4079
"204121",4078
"210130",4078
"207026",4077
"204085",4076
"203008",4075
"208378",4074
"205186",4073
"210024",4071
"208438",4069
"203354",4069
"208684",4069
"201098",4065
"208120",4064
"208591",4064
"210545",4062
"203002",4059
"208388",4059
"208371",4058
"208683",4057
"201168",4056
"210127",4054
"210290",4053
"205040",4053
"208506",4053
"201174",4052
"208353",4049
"208380",4049
"208429",4048
"203127",4045
"208394",4044
"208610",4044
"201171",4043
"201094",4042
"205193",4042
"210123",4041
"210043",4040
"208373",4040
"211035",4038
"208104",4037
"203360",4037
"208109",4035
"207073",4035
"208405",4033
"201173",4031
"204111",4031
"201096",4030
"208351",4029
"211186",4028
"208358",4028
"211209",4027
"211076",4025
"205042",4024
"201093",4024
"205043",4023
"208507",4023
"210320",4021
"208437",4021
"210592",4018
"210426",4017
"208426",4015
"210416",4015
"211197",4013
"208454",4012
"208366",4012
"211058",4010
"208364",4010
"208411",4009
"208123",4009
"201092",4008
"211080",4007
"208108",4006
"207089",4006
"208680",4005
"208436",4002
"208578",4001
"203009",4001
"201100",4000
"208409",3998
"204184",3998
"208375",3996
"204130",3996
"208144",3994
"210079",3994
"210109",3993
"208447",3993
"205039",3992
"211203",3992
"205070",3992
"208581",3991
"210019",3991
"201091",3990
"211074",3990
"210166",3990
"205071",3990
"210104",3990
"205052",3990
"210324",3989
"205190",3989
"211199",3987
"211115",3987
"208370",3986
"205194",3985
"207088",3983
"205149",3978
"204119",3978
"205098",3978
"208101",3978
"210386",3977
"203287",3977
"205187",3977
"203359",3977
"210114",3976
"211066",3976
"208359",3972
"201095",3971
"208646",3971
"203046",3970
"210082",3968
"208410",3968
"208424",3967
"208395",3967
"201099",3966
"208365",3966
"210538",3966
"203061",3965
"205196",3965
"203122",3965
"208153",3963
"210164",3963
"210211",3963
"211112",3960
"201097",3959
"210121",3958
"207117",3956
"204090",3956
"205046",3955
"210102",3953
"210549",3953
"203361",3953
"207011",3952
"208448",3952
"208377",3949
"205041",3949
"203004",3947
"208589",3945
"208451",3944
"210017",3941
"204082",3941
"211232",3941
"208361",3940
"207014",3940
"203036",3940
"211257",3939
"204080",3938
"208471",3937
"204083",3937
"202234",3935
"211188",3935
"208583",3933
"203365",3932
"208514",3932
"210604",3932
"208363",3932
"203105",3932
"208146",3931
"208474",3931
"208580",3930
"210539",3930
"208543",3928
"210018",3927
"205068",3927
"203010",3927
"208432",3927
"205148",3926
"207115",3926
"201172",3924
"208658",3923
"211013",3923
"208242",3921
"210021",3916
"208421",3915
"202220",3913
"208152",3912
"210074",3912
"203049",3912
"201166",3911
"210603",3910
"203119",3908
"210488",3906
"203005",3902
"208582",3901
"211242",3899
"203048",3896
"210165",3896
"210550",3894
"210110",3893
"203116",3891
"208138",3890
"208453",3890
"205079",3890
"208509",3889
"205066",3887
"211212",3886
"210213",3885
"210420",3883
"210551",3882
"210047",3881
"201167",3880
"205199",3878
"207009",3875
"208682",3874
"204076",3874
"210443",3873
"208404",3873
"205036",3872
"201157",3870
"204087",3870
"204092",3869
"208655",3867
"211012",3866
"208151",3866
"203363",3864
"207015",3863
"207013",3860
"211089",3859
"203051",3857
"205077",3856
"210126",3856
"207016",3855
"208579",3854
"204100",3853
"205075",3853
"208106",3852
"208643",3852
"210387",3852
"203050",3848
"203053",3848
